Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-02-12,0.2810141981,0.2733548585,0.2841049888,0.2671985247
XRP,2020-02-13,0.3068436181,0.2810157892,0.3095379695,0.2805423443
XRP,2020-02-14,0.3270675465,0.3068424782,0.3399218691,0.3005290758
XRP,2020-02-15,0.3363374025,0.3272556784,0.3394748728,0.3108011645
XRP,2020-02-16,0.3116566918,0.3362524888,0.347243234,0.2954320034
XRP,2020-02-17,0.29058452,0.3116250548,0.3190289695,0.2694907723
XRP,2020-02-18,0.2830919484,0.2928013037,0.2951884339,0.2694172263
XRP,2020-02-19,0.2988928314,0.2830906908,0.3033630501,0.2759573165
XRP,2020-02-20,0.2823192188,0.2989033924,0.3085525652,0.27058745
XRP,2020-02-21,0.2736952786,0.2750040901,0.281654701,0.2621222915
XRP,2020-02-22,0.272574609,0.2736913111,0.2794358173,0.268921127
XRP,2020-02-23,0.2751990908,0.2745669861,0.278685108,0.2705815804
XRP,2020-02-24,0.2819799177,0.2751998776,0.2852836061,0.274413006
XRP,2020-02-25,0.2687825212,0.2819669978,0.2848702603,0.2640141327
XRP,2020-02-26,0.2568773026,0.2687805925,0.271301818,0.2510447949
XRP,2020-02-27,0.2325759542,0.2568763062,0.2569307429,0.2226611805
XRP,2020-02-28,0.2398474797,0.2290813829,0.2477150871,0.2239433212
XRP,2020-02-29,0.2391750749,0.2383470137,0.244230843,0.2287542075
XRP,2020-03-01,0.2341380503,0.239171586,0.2426184077,0.2324233283
XRP,2020-03-02,0.2279476558,0.2341352047,0.2362078323,0.2241799958
XRP,2020-03-03,0.2387816219,0.2279979166,0.2418757974,0.225729121
XRP,2020-03-04,0.2345844138,0.239739045,0.239797673,0.2296651431
XRP,2020-03-05,0.2346710267,0.2345715128,0.2384112622,0.2304230052
XRP,2020-03-06,0.2386892701,0.2347726647,0.2435500418,0.2339481296
XRP,2020-03-07,0.2433257273,0.2396060948,0.2467958218,0.2385725705
XRP,2020-03-08,0.2381552923,0.2433224424,0.24564,0.2355735497
XRP,2020-03-09,0.2064235668,0.2381874507,0.2382034458,0.200651683
XRP,2020-03-10,0.2072597467,0.206422953,0.2118495407,0.1979681224
XRP,2020-03-11,0.2135475379,0.209702615,0.2158695002,0.2052792125
XRP,2020-03-12,0.2082691198,0.213550882,0.2137356319,0.1992396186
XRP,2020-03-13,0.1559891483,0.2082711449,0.2097648453,0.146248259
XRP,2020-03-14,0.1605058484,0.1559731071,0.1680918983,0.1098440391
XRP,2020-03-15,0.1482558914,0.1604780738,0.1649564161,0.1474817973
XRP,2020-03-16,0.1529208708,0.148231198,0.1646263038,0.1436969536
XRP,2020-03-17,0.1386133898,0.1528823588,0.1547038133,0.12850544
XRP,2020-03-18,0.149832404,0.1385913616,0.1529124227,0.1381431724
XRP,2020-03-19,0.1467819451,0.149814107,0.1505128278,0.1408610091
XRP,2020-03-20,0.1695404732,0.146771008,0.173231241,0.1448892105
XRP,2020-03-21,0.1552885871,0.1695370663,0.1758546042,0.1453380237
XRP,2020-03-22,0.1581283141,0.1553020218,0.1624051165,0.1522010402
XRP,2020-03-23,0.1493959821,0.1581050631,0.1624112677,0.148600488
XRP,2020-03-24,0.158496092,0.1478573501,0.1618872558,0.1450224611
XRP,2020-03-25,0.1632148504,0.1584924952,0.1647304641,0.1577245032
XRP,2020-03-26,0.1619099006,0.1632167203,0.1657073824,0.1576278809
XRP,2020-03-27,0.1720318377,0.1621399884,0.1746127899,0.1603334895
XRP,2020-03-28,0.1840376084,0.1720027158,0.1876153278,0.1699915656
XRP,2020-03-29,0.1759319932,0.1840499494,0.184064772,0.1670107739
XRP,2020-03-30,0.1636654902,0.175922423,0.1770590116,0.1619776868
XRP,2020-03-31,0.1732788142,0.1627224757,0.1757743344,0.1624418813
XRP,2020-04-01,0.1756528365,0.1732531747,0.1783395733,0.1707815994
XRP,2020-04-02,0.1744244164,0.1756853536,0.1758929421,0.1684299681
XRP,2020-04-03,0.1795877617,0.1744257662,0.1867424966,0.1742922323
XRP,2020-04-04,0.1799066226,0.1783999573,0.1831372901,0.176165022
XRP,2020-04-05,0.1809941319,0.1798493142,0.1840746769,0.1779524997
XRP,2020-04-06,0.1793540335,0.1816160719,0.1824621738,0.1766625308
XRP,2020-04-07,0.1953206191,0.1793540976,0.1966874771,0.1790225078
XRP,2020-04-08,0.1935829108,0.1952924496,0.2053718732,0.190047835
XRP,2020-04-09,0.2019588493,0.1935811074,0.2030555861,0.191686975
XRP,2020-04-10,0.1993311813,0.201946316,0.2027009487,0.1944660104
XRP,2020-04-11,0.1883341068,0.1993308533,0.1996029099,0.181785719
XRP,2020-04-12,0.1877642318,0.1879361813,0.1925456048,0.1853449918
XRP,2020-04-13,0.1918819021,0.1877640621,0.1962846417,0.1866315282
XRP,2020-04-14,0.1890478373,0.1918819185,0.1926876356,0.1804438926
XRP,2020-04-15,0.1863423441,0.1890478711,0.1895767682,0.1839571512
XRP,2020-04-16,0.1838242603,0.1863419131,0.1901537014,0.1822398164
XRP,2020-04-17,0.1925363845,0.1806137864,0.192978801,0.1742076739
